productType,variantId,sku,prices,tax,categories,images,name.en,description.en,slug.en,metaTitle.en,metaDescription.en,name.en-us,description.en-us,slug.en-us,metaTitle.en-us,metaDescription.en-us,metaKeywords.en,size,amount
ecommerce2024rss_single,1,PLANT_1,EUR 25000,standard,Plant>Single,https://raw.githubusercontent.com/belosnezhie/eCommerce-Application-data/main/images/Plants/Aglaonemas_Spotted_Star.jpg,,,,,,Aglaonemas 'Spotted Star',"Aglaonema 'Spotted Star' is a vibrant, easy-care houseplant known for its striking, variegated leaves adorned with splashes of pink and green.",aglaonemas-spotted-star,Aglaonemas 'Spotted Star',"Aglaonema 'Spotted Star' is a vibrant, easy-care houseplant known for its striking, variegated leaves adorned with splashes of pink and green.",,,
ecommerce2024rss_single,1,PLANT_2,EUR 25001,standard,Plant>Single,https://raw.githubusercontent.com/belosnezhie/eCommerce-Application-data/main/images/Plants/Alocasia_macrorrhiza.jpg,,,,,,Alocasia macrorrhiza,"Alocasia macrorrhiza is a striking tropical plant featuring large, glossy, heart-shaped leaves that make a bold statement in any indoor garden.",alocasia-macrorrhiza,Alocasia macrorrhiza,"Alocasia macrorrhiza is a striking tropical plant featuring large, glossy, heart-shaped leaves that make a bold statement in any indoor garden.",,,
ecommerce2024rss_single,1,PLANT_3,EUR 68500,standard,Plant>Single,https://raw.githubusercontent.com/belosnezhie/eCommerce-Application-data/main/images/Plants/Alocasia_portodora.jpg,,,,,,Alocasia portodora,"Alocasia portodora is a dramatic tropical plant featuring tall, deeply ribbed leaves that create a stunning architectural presence indoor space.",alocasia-portodora,Alocasia portodora,"Alocasia portodora is a dramatic tropical plant featuring tall, deeply ribbed leaves that create a stunning architectural presence indoor space.",,large,
ecommerce2024rss_single,1,PLANT_4,EUR 18200,standard,Plant>Single,https://raw.githubusercontent.com/belosnezhie/eCommerce-Application-data/main/images/Plants/Anthurium_scherzerianum.jpg,,,,,,Anthurium scherzerianum,Anthurium scherzerianum adds a vibrant splash of color and elegance to any indoor setting.,anthurium-scherzerianum,Anthurium scherzerianum,Anthurium scherzerianum adds a vibrant splash of color and elegance to any indoor setting.,,,
ecommerce2024rss_single,1,PLANT_5,EUR 42500,standard,Plant>Single,https://raw.githubusercontent.com/belosnezhie/eCommerce-Application-data/main/images/Plants/Aphelandra.jpg,,,,,,Aphelandra,"Aphelandra is admired for its striking dark green leaves with bold white veins and vibrant yellow flower bracts, making it a standout in any indoor plant collection.",aphelandra,Aphelandra,"Aphelandra is admired for its striking dark green leaves with bold white veins and vibrant yellow flower bracts, making it a standout in any indoor plant collection.",,small,
ecommerce2024rss_single,1,PLANT_6,EUR 18200,standard,Plant>Single,https://raw.githubusercontent.com/belosnezhie/eCommerce-Application-data/main/images/Plants/Asplenium_nidus.jpg,,,,,,Asplenium nidus,"Asplenium nidus features large, wavy, bright green fronds that radiate from a central rosette, adding a lush and tropical touch to any indoor space.",asplenium-nidus,Asplenium nidus,"Asplenium nidus features large, wavy, bright green fronds that radiate from a central rosette, adding a lush and tropical touch to any indoor space.",,,
ecommerce2024rss_single,1,PLANT_7,EUR 20000,standard,Plant>Single,https://raw.githubusercontent.com/belosnezhie/eCommerce-Application-data/main/images/Plants/Calathea_Maui_Queen.jpg,,,,,,Calathea 'Maui Queen',"Calathea is famous by its dark lance-shaped leaves adorned with elegant silver patterns and purple undersides, will bring a touch of sophistication to any home.",calathea-maui-queen,Calathea 'Maui Queen',"Calathea is famous by its dark lance-shaped leaves adorned with elegant silver patterns and purple undersides, will bring a touch of sophistication to any home.",,,
ecommerce2024rss_single,1,PLANT_8,EUR 42500,standard,Plant>Single,https://raw.githubusercontent.com/belosnezhie/eCommerce-Application-data/main/images/Plants/Calathea_lancifolia.jpg,,,,,,Calathea lancifolia,"Calathea lancifolia showcases long, wavy green leaves with striking dark green patterns and vibrant purple undersides, adding a playful touch to any space.",calathea-lancifolia,Calathea lancifolia,"Calathea lancifolia showcases long, wavy green leaves with striking dark green patterns and vibrant purple undersides, adding a playful touch to any space.",,,
ecommerce2024rss_single,1,PLANT_9,EUR 25008,standard,Plant>Single,https://raw.githubusercontent.com/belosnezhie/eCommerce-Application-data/main/images/Plants/Calathea_makoyana.jpg,,,,,,Calathea makoyana,"Calathea features intricately patterned leaves with dark green markings and purple undersides, making it eye-catching addition to any indoor plant collection.",calathea-makoyana,Calathea makoyana,"Calathea features intricately patterned leaves with dark green markings and purple undersides, making it eye-catching addition to any indoor plant collection.",,,
ecommerce2024rss_single,1,PLANT_10,EUR 25009,standard,Plant>Single,https://raw.githubusercontent.com/belosnezhie/eCommerce-Application-data/main/images/Plants/Dracaena_fragrans.jpg,,,,,,Dracaena fragrans,"Dracaena is an easy-care houseplant with long, arching, green leaves that often feature yellow or white stripes, adding a touch of tropical elegance to any space.",dracaena-fragrans,Dracaena fragrans,"Dracaena is an easy-care houseplant with long, arching, green leaves that often feature yellow or white stripes, adding a touch of tropical elegance to any space.",,,
ecommerce2024rss_single,1,PLANT_11,EUR 25010,standard,Plant>Single,https://raw.githubusercontent.com/belosnezhie/eCommerce-Application-data/main/images/Plants/ficus_elastica.jpg,,,,,,ficus elastica,"Ficus elastica is a popular indoor plant with large, glossy, dark green leaves that can add a bold, tropical flair to any home or office setting.",ficus-elastica,ficus elastica,"Ficus elastica is a popular indoor plant with large, glossy, dark green leaves that can add a bold, tropical flair to any home or office setting.",,,
